epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,104.866,0.70232,1.12154,0.68043,1.04645,0.52623,0.375,0.34576,0.2047,0.49421,0.35,0.31186,0.17637,1.76734,4.27352,2.05959,2.15648,0.0011884,0.0011884,0.0011884
31,108.193,0.73504,1.07562,0.66773,1.02839,0.43958,0.5,0.33794,0.22697,0.41526,0.475,0.31086,0.15284,1.83052,4.47933,2.09446,2.13414,0.0011719,0.0011719,0.0011719
32,111.53,0.74927,1.21892,0.67904,1.05785,0.27498,0.325,0.11967,0.05946,0.19465,0.3,0.08957,0.0485,2.14502,5.51586,3.79746,2.40329,0.0011554,0.0011554,0.0011554
33,114.839,0.66318,1.04248,0.66208,1.01402,0.48668,0.375,0.22536,0.14985,0.50804,0.25,0.19369,0.13265,1.94677,5.12607,3.26501,2.24135,0.00113889,0.00113889,0.00113889
34,118.166,0.70915,1.0766,0.63542,1.00793,0.43621,0.4,0.27695,0.15774,0.43621,0.4,0.27817,0.15264,1.8306,3.90961,2.94694,2.03258,0.00112239,0.00112239,0.00112239
35,121.49,0.75547,1.14079,0.65531,1.06216,0.4393,0.625,0.35526,0.22938,0.4393,0.625,0.35142,0.23398,1.41326,3.25794,2.49865,1.70308,0.00110589,0.00110589,0.00110589
36,124.847,0.66894,0.97013,0.58979,0.9981,0.41061,0.725,0.45833,0.24316,0.38891,0.7,0.41082,0.24978,1.51419,2.22013,2.02803,1.90734,0.00108938,0.00108938,0.00108938
37,128.181,0.65498,0.97729,0.59599,1.02784,0.43964,0.75,0.45297,0.24759,0.4197,0.725,0.43908,0.2598,1.57418,2.12737,1.91046,1.87851,0.00107288,0.00107288,0.00107288
38,131.52,0.67731,0.99732,0.62508,1.03258,0.45327,0.75328,0.55372,0.24404,0.40174,0.6589,0.44523,0.23822,1.82963,2.38147,2.3197,2.0043,0.00105638,0.00105638,0.00105638
39,134.806,0.74183,1.02538,0.66517,1.08023,0.44479,0.75718,0.5585,0.25014,0.43134,0.73755,0.52698,0.25166,1.6798,2.09686,1.81788,1.88947,0.00103987,0.00103987,0.00103987
40,138.176,0.67406,0.94528,0.60605,1.04353,0.45362,0.55,0.38832,0.22214,0.40478,0.5,0.36184,0.19378,1.53695,2.74389,2.00909,1.78551,0.00102337,0.00102337,0.00102337
41,141.465,0.64303,0.96251,0.54428,1.00026,0.4064,0.44879,0.39059,0.23948,0.4064,0.44879,0.37377,0.23269,1.47728,2.79498,2.22441,1.74462,0.00100687,0.00100687,0.00100687
42,144.818,0.6023,0.91547,0.545,0.98639,0.33404,0.5385,0.38446,0.23983,0.33404,0.5385,0.35973,0.23485,1.54756,2.31167,2.41406,1.77021,0.000990365,0.000990365,0.000990365
43,148.093,0.6762,0.92123,0.5876,1.01225,0.56541,0.675,0.44807,0.24736,0.53791,0.65,0.38319,0.22203,1.37702,2.26285,2.26852,1.67629,0.000973861,0.000973861,0.000973861
44,151.384,0.66637,0.945,0.62008,1.0463,0.54447,0.675,0.56284,0.32582,0.54447,0.675,0.54856,0.30675,1.4446,2.14698,1.90398,1.7089,0.000957358,0.000957358,0.000957358
45,154.651,0.67022,0.97354,0.59202,1.03578,0.55251,0.8,0.66177,0.33683,0.5476,0.8,0.64474,0.3467,1.52121,2.33365,1.93429,1.85762,0.000940855,0.000940855,0.000940855
46,158.015,0.622,0.98007,0.58512,1.02759,0.64991,0.71724,0.76473,0.44268,0.64991,0.71724,0.76473,0.49147,1.48608,2.98679,1.62355,1.90025,0.000924352,0.000924352,0.000924352
47,161.405,0.62091,0.91167,0.5599,1.00853,0.78556,0.58219,0.77836,0.46235,0.78556,0.58219,0.77836,0.51283,1.3044,2.78792,1.58293,1.68514,0.000907848,0.000907848,0.000907848
48,164.809,0.68829,0.92746,0.58999,1.04664,0.87503,0.56823,0.77714,0.4185,0.87503,0.56823,0.74854,0.43144,1.57295,3.0353,1.42364,2.06043,0.000891345,0.000891345,0.000891345
49,168.14,0.59829,0.87309,0.56113,0.98834,0.63471,0.84541,0.73512,0.37779,0.55018,0.67767,0.65121,0.37138,1.57173,3.03889,1.52208,2.04808,0.000874842,0.000874842,0.000874842
50,171.511,0.62033,0.88846,0.53613,0.97722,0.53123,0.56575,0.5779,0.28521,0.53123,0.56575,0.56844,0.28583,1.68423,2.8031,1.97331,2.18087,0.000858338,0.000858338,0.000858338
51,174.801,0.64527,1.02237,0.56891,1.00241,0.52806,0.5,0.50804,0.2116,0.52806,0.5,0.4253,0.19294,1.67393,2.8637,2.23001,2.08948,0.000841835,0.000841835,0.000841835
52,178.156,0.60907,0.80774,0.52644,0.98969,0.415,0.66179,0.61176,0.42375,0.415,0.66179,0.61176,0.40026,1.12101,2.1066,1.98637,1.47861,0.000825332,0.000825332,0.000825332
53,181.505,0.60108,0.89409,0.51071,0.98818,0.48558,0.8,0.66921,0.51053,0.48558,0.8,0.66921,0.4739,1.04163,1.97825,1.79826,1.4161,0.000808828,0.000808828,0.000808828
